x (m),y (m)
1.04,-0.1
1.05,-0.11
1.06,-0.11
1.06,-0.11
1.07,-0.12
1.08,-0.12
1.09,-0.12
1.1,-0.13
1.11,-0.13
1.11,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.13
1.12,-0.14
1.13,-0.14
1.13,-0.14
1.14,-0.14
1.14,-0.15
1.15,-0.15
1.15,-0.15
1.16,-0.16
1.16,-0.16
1.16,-0.17
1.17,-0.18
1.17,-0.18
1.17,-0.19
1.18,-0.19
1.18,-0.2
1.18,-0.21
1.18,-0.21
1.18,-0.22
1.18,-0.23
1.18,-0.23
1.18,-0.24
1.18,-0.25
1.17,-0.25
1.17,-0.26
1.17,-0.26
1.17,-0.26
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.17,-0.27
1.16,-0.27
1.16,-0.28
1.16,-0.28
1.15,-0.29
1.15,-0.3
1.15,-0.3
1.14,-0.31
1.14,-0.32
1.13,-0.33
1.13,-0.34
1.12,-0.35
1.12,-0.36
1.11,-0.37
1.11,-0.37
1.11,-0.38
1.1,-0.39
1.1,-0.4
1.09,-0.41
1.09,-0.42
1.08,-0.43
1.08,-0.44
1.07,-0.45
1.07,-0.46
1.06,-0.47
1.06,-0.48
1.05,-0.49
1.05,-0.5
1.04,-0.51
1.04,-0.52
1.03,-0.53
1.03,-0.54
1.02,-0.55
1.02,-0.56
1.02,-0.57
1.01,-0.58
1.01,-0.59
1.0,-0.6
1.0,-0.61
0.99,-0.62
0.99,-0.63
0.98,-0.64
0.98,-0.65
0.97,-0.66
0.97,-0.67
0.96,-0.68
0.96,-0.69
0.95,-0.7
0.95,-0.71
0.95,-0.72
0.94,-0.73
0.94,-0.74
0.93,-0.75
0.93,-0.77
0.92,-0.78
0.92,-0.79
0.91,-0.8
0.91,-0.81
0.9,-0.82
0.9,-0.83
0.89,-0.84
0.89,-0.85
0.88,-0.86
0.88,-0.87
0.87,-0.88
0.87,-0.89
0.86,-0.9
0.86,-0.91
0.85,-0.92
0.85,-0.93
0.84,-0.94
0.84,-0.95
0.84,-0.96
0.84,-0.96
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.97
0.83,-0.98
0.83,-0.98
0.82,-0.98
0.82,-0.99
0.82,-0.99
0.81,-1.0
0.81,-1.0
0.8,-1.01
0.8,-1.01
0.79,-1.01
0.79,-1.01
0.78,-1.02
0.78,-1.02
0.77,-1.02
0.76,-1.02
0.76,-1.02
0.75,-1.02
0.74,-1.02
0.74,-1.02
0.73,-1.02
0.72,-1.02
0.72,-1.02
0.71,-1.02
0.71,-1.02
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.71,-1.01
0.7,-1.01
0.7,-1.01
0.69,-1.01
0.69,-1.01
0.68,-1.0
0.67,-1.0
0.66,-1.0
0.66,-0.99
0.65,-0.99
0.64,-0.99
0.63,-0.98
0.62,-0.98
0.61,-0.97
0.6,-0.97
0.59,-0.97
0.58,-0.96
0.57,-0.96
0.56,-0.95
0.55,-0.95
0.54,-0.94
0.53,-0.94
0.52,-0.94
0.51,-0.93
0.5,-0.93
0.49,-0.92
0.48,-0.92
0.47,-0.91
0.46,-0.91
0.45,-0.9
0.44,-0.9
0.43,-0.89
0.42,-0.89
0.41,-0.88
0.4,-0.88
0.39,-0.87
0.38,-0.87
0.37,-0.86
0.36,-0.86
0.35,-0.85
0.34,-0.85
0.33,-0.85
0.32,-0.84
0.31,-0.84
0.3,-0.83
0.29,-0.83
0.29,-0.82
0.28,-0.82
0.27,-0.81
0.26,-0.81
0.25,-0.8
0.24,-0.79
0.23,-0.79
0.22,-0.78
0.21,-0.78
0.2,-0.77
0.19,-0.77
0.18,-0.76
0.17,-0.76
0.16,-0.75
0.15,-0.75
0.15,-0.74
0.14,-0.74
0.13,-0.73
0.12,-0.73
0.11,-0.72
0.1,-0.71
0.09,-0.71
0.08,-0.7
0.08,-0.7
0.07,-0.69
0.06,-0.69
0.05,-0.68
0.05,-0.68
0.04,-0.68
0.03,-0.67
0.02,-0.67
0.02,-0.66
0.01,-0.66
0.0,-0.65
-0.0,-0.65
-0.01,-0.65
-0.01,-0.64
-0.02,-0.64
-0.02,-0.64
-0.03,-0.63
-0.03,-0.63
-0.04,-0.63
-0.05,-0.62
-0.05,-0.62
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.06,-0.61
-0.07,-0.61
-0.07,-0.61
-0.07,-0.6
-0.07,-0.6
-0.08,-0.6
-0.08,-0.59
-0.09,-0.59
-0.09,-0.58
-0.09,-0.58
-0.09,-0.57
-0.1,-0.56
-0.1,-0.56
-0.1,-0.55
-0.1,-0.54
-0.1,-0.54
-0.1,-0.53
-0.1,-0.52
-0.1,-0.52
-0.1,-0.51
-0.09,-0.5
-0.09,-0.5
-0.09,-0.49
-0.09,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.48
-0.08,-0.47
-0.07,-0.47
-0.07,-0.46
-0.07,-0.46
-0.06,-0.45
-0.06,-0.44
-0.05,-0.44
-0.04,-0.43
-0.04,-0.42
-0.03,-0.41
-0.03,-0.4
-0.02,-0.4
-0.01,-0.39
-0.01,-0.38
0.0,-0.37
0.01,-0.36
0.01,-0.35
0.02,-0.34
0.03,-0.33
0.04,-0.32
0.04,-0.31
0.05,-0.31
0.06,-0.3
0.06,-0.29
0.07,-0.28
0.07,-0.27
0.08,-0.26
0.09,-0.26
0.09,-0.25
0.1,-0.24
0.11,-0.23
0.11,-0.22
0.12,-0.22
0.13,-0.21
0.13,-0.2
0.14,-0.19
0.14,-0.19
0.14,-0.18
0.15,-0.18
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
0.15,-0.17
